Company,Extracted_field,Sentiment
bridgestone corporation,Disclosure on Sustainable Supply Chain Management Practices,Positive
"meritor, inc",Progress Updates on Emission Reduction Targets,Positive
"meritor, inc",Disclosure on Community Engagement and Social Impact Initiatives,positive
"meritor, inc",Narrative on Governance Framework and Board Diversity,Positive
"meritor, inc",Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
mando,Progress Updates on Emission Reduction Targets,Positive
mando,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
mando,Disclosure on Community Engagement and Social Impact Initiatives,Positive
mando,Narrative on Governance Framework and Board Diversity,neutral
mando,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
"monro, inc",Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
"monro, inc",Narrative on Governance Framework and Board Diversity,Positive
dana incorporated,Progress Updates on Emission Reduction Targets,Positive
dana incorporated,Disclosure on Community Engagement and Social Impact Initiatives,Positive
dana incorporated,Narrative on Governance Framework and Board Diversity,Positive
dana incorporated,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
dana incorporated,Disclosure on Sustainable Supply Chain Management Practices,Positive
dana incorporated,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
dana incorporated,Disclosure on Community Engagement and Social Impact Initiatives,Positive
dana incorporated,Narrative on Governance Framework and Board Diversity,Positive
dana incorporated,Disclosure on ESG Risk Management and Stakeholder Engagement,Neutral
dana incorporated,Narrative on Sustainability Goals and Actions,Positive
dana incorporated,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
dana incorporated,Narrative on Governance Framework and Board Diversity,Positive
kendrion n.v,Progress Updates on Emission Reduction Targets,Positive
kendrion n.v,Narrative on Governance Framework and Board Diversity,Positive
kendrion n.v,Disclosure on ESG Risk Management and Stakeholder Engagement,positive
kendrion n.v,Disclosure on Sustainable Supply Chain Management Practices,Positive
martinrea international inc,Progress Updates on Emission Reduction Targets,Positive
martinrea international inc,Narrative on Governance Framework and Board Diversity,Positive
martinrea international inc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
martinrea international inc,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
martinrea international inc,Narrative on Sustainability Goals and Actions,Positive
martinrea international inc,Progress Updates on Emission Reduction Targets,neutral
martinrea international inc,Progress Updates on Emission Reduction Targets,Neutral
martinrea international inc,Disclosure on Community Engagement and Social Impact Initiatives,Positive
martinrea international inc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
martinrea international inc,Disclosure on Sustainable Supply Chain Management Practices,Positive
garrett motion inc,Progress Updates on Emission Reduction Targets,positive
garrett motion inc,Narrative on Governance Framework and Board Diversity,Positive
garrett motion inc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
garrett motion inc,Progress Updates on Emission Reduction Targets,Positive
garrett motion inc,Disclosure on Community Engagement and Social Impact Initiatives,Positive
linamar corp,Disclosure on Community Engagement and Social Impact Initiatives,Positive
linamar corp,Narrative on Governance Framework and Board Diversity,Positive
aptiv,Disclosure on Community Engagement and Social Impact Initiatives,positive
aptiv,Narrative on Governance Framework and Board Diversity,Positive
aptiv,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
aptiv,Disclosure on Sustainable Supply Chain Management Practices,Positive
allison transmission,Narrative on Sustainability Goals and Actions,Positive
allison transmission,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
allison transmission,Narrative on Governance Framework and Board Diversity,Positive
allison transmission,Disclosure on Sustainable Supply Chain Management Practices,Positive
allison transmission,Narrative on Sustainability Goals and Actions,Positive
allison transmission,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
allison transmission,Narrative on Governance Framework and Board Diversity,neutral
allison transmission,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
allison transmission,Disclosure on Sustainable Supply Chain Management Practices,Positive
allison transmission,Progress Updates on Emission Reduction Targets,Positive
allison transmission,Disclosure on Sustainable Supply Chain Management Practices,Positive
douglas dynamics inc,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
semperit ag holding,Narrative on Sustainability Goals and Actions,Positive
semperit ag holding,Progress Updates on Emission Reduction Targets,Positive
semperit ag holding,Narrative on Governance Framework and Board Diversity,Positive
semperit ag holding,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
semperit ag holding,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Positive
semperit ag holding,Disclosure on Community Engagement and Social Impact Initiatives,Positive
semperit ag holding,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
haldex,Narrative on Sustainability Goals and Actions,Positive
haldex,Progress Updates on Emission Reduction Targets,Neutral
haldex,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
haldex,Disclosure on Sustainable Supply Chain Management Practices,Positive
goodyear tire & rubber co,Progress Updates on Emission Reduction Targets,Neutral
goodyear tire & rubber co,Narrative on Governance Framework and Board Diversity,Positive
goodyear tire & rubber co,Disclosure on ESG Risk Management and Stakeholder Engagement,positive
goodyear tire & rubber co,Disclosure on Sustainable Supply Chain Management Practices,Positive
phinia,Progress Updates on Emission Reduction Targets,Positive
phinia,Disclosure on Community Engagement and Social Impact Initiatives,Positive
phinia,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
gestamp,Narrative on Governance Framework and Board Diversity,Positive
gestamp,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
gentherm inc,Narrative on Governance Framework and Board Diversity,Positive
gentherm inc,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
gentherm inc,Disclosure on Sustainable Supply Chain Management Practices,Positive
gentherm inc,Progress Updates on Emission Reduction Targets,Positive
gentherm inc,Narrative on Governance Framework and Board Diversity,Positive
gentherm inc,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
gentherm inc,Disclosure on Sustainable Supply Chain Management Practices,positive
modine manufacturing co,Narrative on Sustainability Goals and Actions,Positive
modine manufacturing co,Progress Updates on Emission Reduction Targets,Positive
modine manufacturing co,Disclosure on Community Engagement and Social Impact Initiatives,Positive
modine manufacturing co,Narrative on Governance Framework and Board Diversity,Positive
modine manufacturing co,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
gentex corporation,Progress Updates on Emission Reduction Targets,Neutral
gentex corporation,Disclosure on Community Engagement and Social Impact Initiatives,Positive
gentex corporation,Narrative on Governance Framework and Board Diversity,Positive
"magna international, inc",Disclosure on Community Engagement and Social Impact Initiatives,positive
"magna international, inc",Narrative on Governance Framework and Board Diversity,positive
cie automotive,Progress Updates on Emission Reduction Targets,Positive
cie automotive,Disclosure on ESG Risk Management and Stakeholder Engagement,positive
cie automotive,Narrative on Innovations in Sustainable Technologies and Product Design,Positive
cooper-standard holdings inc,Progress Updates on Emission Reduction Targets,Positive
cooper-standard holdings inc,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Neutral
cooper-standard holdings inc,Disclosure on ESG Risk Management and Stakeholder Engagement,Positive
