,filename,Total Energy Consumption in Production,Energy Consumption per Vehicle Production,Total Water Usage,Total Wastewater Volume Generated,Water Recycling and Reuse Rate,Total GHG Emissions,GHG Emissions and Intensity per Vehicle,Total Manufacturing Waste Generation,Waste Recycling and Diversion Rate,Battery Recycling Rate,Employee Count,Employee Turnover Rate,Number of Workplace Accidents,Employee Injury Rate,Average Training Hours/Employee,Training Investment/Employee,Workforce Gender Ratios,Workforce Minority Ratios,Number of Corruption Incidents,Anti-corruption Compliance Rate,Number of Anti-competitive Practices,Monetary Value of Fines Imposed,Political Contributions and Lobbying Expenditures,Number of Marketing Compliance and Ethical Advertising Violation Incidents,Sales-weighted Average Fuel Economy/Emissions,Zero Emission and Alternative Fuel Vehicle Sales,Narrative on Sustainability Goals and Actions,Progress Updates on Emission Reduction Targets,Disclosure on Renewable Energy Initiatives and Resource Efficiency Practices,Narrative on Workforce Diversity Employee Well-being and Safety,Disclosure on Community Engagement and Social Impact Initiatives,Narrative on Governance Framework and Board Diversity,Disclosure on ESG Risk Management and Stakeholder Engagement,Narrative on Innovations in Sustainable Technologies and Product Design,Disclosure on Sustainable Supply Chain Management Practices,size
10,../data/processed/Auto Parts-Horizon Global Corporation-2021 Sustainability Report.txt,,,96094.0,,,,,,,,,,,,,,0.35,,,,,,,,,,"Our ESG strategy is fully integrated into our culture and future growth. Our ESG strategy is designed to benefit our stakeholders within the Company and beyond to the communities where we LIVE, WORK, AND PLAY. Its success is highly dependent on our commitment to integrity, upon building a respectful and open team, and providing them with a healthy and safe work environment.",,,,"In addition to our commitment to improving the health, well-being, and success of our employees, we are dedicated to improving lives in the communities where our employees and other stakeholders LIVE, WORK, AND PLAY.",,"Horizon Global recognizes the importance of Human Rights issues and risks in the supply chain, identifying the “Salient Human Rights Issues” as per the United Nations Guiding Principles (Protect, Respect, Remedy). We uphold ethical behavior of both direct and indirect suppliers, particularly around issues such as child labor, forced or slave labor, abusive treatment, or corrupt business practices. In addition to the requirements set forth in the Supplier Acknowledgment (above), Horizon Global is working on implementing a robust, comprehensive Human Rights Policy, with a goal of publishing in late 2021. The goals of that policy are in line with our Supplier Acknowledgment and also include requiring our suppliers to comply with such policy or risk loss of business for failure to comply.",,,Medium
11,../data/processed/Auto Parts-Autoliv Inc-2023 Responsibility Report.txt,,,2290000.0,,,0.358,,,0.91,,70300.0,,,,,,0.49,,,,,,,,,,,"Despite an increase in total energy consumption, our efforts in particular in increasing renewable electricity use and SF6 phase-out combined with updated emission factors lead to a 17% decrease in Scope 1+2 emissons compared to 2022. The Scope 1+2 SBT is 1.5°C aligned and has a baseline of 423 kton. 2023 Scope 1+2 emissions of 358 kton is a 15% absolute reduction compared to the baseline. The scope 3 SBT is 2°C aligned and has a baseline of 3,100 kton. 2023 Scope 3 upstream emissions of 3,770 kton is an 18% absolute increase compared to the baseline.",,"Ensuring a safe workplace is a top priority for us and our goals are clear: we want zero accidents, and we want to prevent all occupational injuries. Autoliv’s management is strongly committed to providing safe and healthy working conditions for all our employees and contractors, and we work actively to make health and safety an integrated part of our daily work, on all levels and across functions. In 2023, we continued our safety leadership training and performed general awareness-raising activities as well as activities with a particular focus on high-risk tasks.",,"The Board of Directors is ultimately responsible for the oversight of sustainability-related matters, including climate change, and has delegated certain responsibilities to its committees. The Board of Directors and the Nominating and Corporate Governance Committee (NCGC) receive regular updates on climate-related matters and performance. In 2021, the Board of Directors endorsed Autoliv’s current long-term climate ambitions as well as the strategic direction for reaching the ambitions. Throughout 2023, the Board and NCGC received updates on progress related to the climate program and our plans for 2024.",,,,Large
12,"../data/processed/Auto Parts-Rush Enterprises, Inc-2023 Corporate Responsibility Report.txt",,,252919.12189495,,,66810.0,,,0.258,1.0,,0.14850000000000002,,,,,0.17850000000000002,0.18600000000000003,,,,,66000.0,,,,"Rush Enterprises is committed to reducing the impact of our operations on the environment. The pillars of Rush Enterprises’ Environmental Management System are: (i) reducing the use of hazardous materials and waste products and effectively containing what is used; (ii) maximizing recycling and repurposing of generated wastes; (iii) minimizing energy and water usage; and (iv) minimizing consumption of fossil fuels. To support our efforts, the Company has embarked on a program of regular communications with all of our employees to encourage them to join our “green journey.” The Company provides information on its initiatives to reduce its carbon footprint and how individuals at Company locations can assist through resource conservation and recycling, fuel-efficient operation of Company vehicles and environmentally friendly landscape and irrigation practices.",,,,"Rush Enterprises encourages its employees to participate in charitable causes that are important to them and their local communities. Our employees make inspiring contributions, from supporting Future Farmers of America to Habitat for Humanity, to restoring bicycles for needy children and vintage autos for the benefit of local crisis centers to leading disaster response organizations and hundreds of other worthy causes. The Company also sponsors an annual campaign for donations to local food banks. In 2022, contributions of food and cash equated to nearly 112,000 meals for the hungry in our communities. The Company incentivized participation with free lunch for the top fundraising locations, but our amazing employees at the winning locations asked the Company to donate the cost of the lunches to their local food banks.","The Board of Directors believes that diversity, in terms of a candidate’s gender, race, ethnicity, differences in backgrounds, experiences and personal characteristics, is important to the effectiveness of the Board of Director’s oversight of the Company. Accordingly, the Board of Directors is committed to seeking out highly qualified diverse candidates in each search for new candidates that the Board of Directors undertakes and has tasked the Nominating and Governance Committee with ensuring that such candidates are included.",,,,Small
13,../data/processed/Auto Parts-Knorr-Bremse AG-2023 Sustainability Report.txt,482000.0,,657.0,,,47000.0,,69000.0,0.83,,33319.0,0.15,,0.7,,,0.21600000000000003,,9.0,0.97,,,,,,,,,,"Initiatives include ergonomic improvements in assembly lines and comprehensive mental health support programs, as well as targeted training on battery safety for shift workers.","Knorr‑Bremse Local Care comprises all social activities of our locations. It includes financial support to non-profit organizations and corporate volunteering projects in which employees personally take part. These activities focus on the environment, education, health, and social cohesion.","The ESG Board is the key body where the Knorr-Bremse sustainability and climate strategies are discussed and defined. It comprises two members of the Executive Board, a representative of the senior management from each of the two divisions and of the Knorr-Bremse North America/South America and Asia-Pacific regions, the Chair of Knorr-Bremse Global Care e. V., and the Head of the Sustainability department.",,,"We have set out Knorr‑Bremse’s commitment to sustainability in the supply chain in our Code of Conduct and our sustainability guidelines. We expect suppliers to act in a manner that is in line with our values and takes account of international environmental and human rights guidelines and standards. These include the principles of the UN Global Compact, the International Labour Organization (ILO) conventions, and the UN Universal Declaration of Human Rights. These principles are specified in our guidelines:",Large
14,"../data/processed/Auto Parts-Dorman Products, Inc-2023 Environmental, Social and Governance Report.txt",125481.66666666666,,,,,30744.0,,20436.0,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,Medium
15,../data/processed/Auto Parts-Johnson Controls International plc-2024 Sustainability Report.txt,,,3196000.0,,,606107.0,,93140.0,0.89,,99095.0,0.14,460.0,,15.43,,0.23,0.32,,0.96,,,205000.0,,,,,We have reduced scope 3 emissions from the use of sold products by 27 percent compared to fiscal year 2017. Third-party verifications confirm a 15% decrease over the past year.,"We’ve formed a multidisciplinary steering committee focused on our environmental, social and governance (ESG) reporting. The purpose of the steering committee is to oversee efforts designed to enhance our ESG reporting in anticipation of legally mandated ESG reporting requirements. The steering committee brings together leaders from across a variety of functions to share knowledge on ESG reporting regulations, trends, controls and procedures, to identify key ESG reporting issues and to facilitate collaboration among functional groups in generating ESG disclosure.",,,,"Climate changes and other environmental aspects have been embedded in our ERM and risk mitigation actions. As a global multi-industrial company, we face a wide range of risks (see enterprise risk management). However, our ERM process provides us with a common framework and terminology to ensure consistency in the identification, reporting and management of key risks. It also informs the strategic planning process and includes formal processes to identify and document the key risks to Johnson Controls as perceived by a variety of stakeholders within the company.",,"Since its launch in 2021, the Johnson Controls Supplier Sustainability Program ensures our suppliers abide by the principles of our Code of Ethics through a detailed assessment covering environment, labor and human rights, ethics and sustainable procurement. We quadrupled the sustainability rating weight on supplier scorecards in 2022, and it’s now weighted at 21 percent of preferred suppliers’ global scorecards, making sustainability equal to cost, quality and delivery. Currently, 38 percent of our enterprise procurement spend, accounting for over 1,600 suppliers, has been assessed in detail across each of these dimensions. Our target is to have detailed assessments of 50 percent of our supplier spend by the end of 2026 and 80 percent by the end of 2028.",Large
16,"../data/processed/Auto Manufacturers - Major-NFI Group Inc-2023 Environmental, Social and Governance Report.txt",187908.33333333334,,137360.13546766,,,2429.0,,,,,8566.0,,,,,,0.19,0.242,,,,,,,,878.0,,"In 2023, NFI delivered 878 ZEBs (123% of total deliveries), avoiding the equivalent of 2.1 billion lbs of ${\mathsf{c o}}_{_{2}}$ emissions over the expected 12-year life of those buses.1","With our increasing zero-emission product line growth, we anticipate a potential increase in our energy usage in some of our production facilities due to product testing and charging requirements. We remain steadfast in our commitment to continually enhance energy efficiency and are reviewing opportunities to utilize renewable energy options where practicable.","Support for mental health and well-being is critical for our team members, their families, and our ability to deliver on our goals and objectives. Throughout 2023, facilities across NFI organized health and wellness events, activities, and supports. In 2023, New Flyer and MCI facilities in Winnipeg held mental health and wellness events to provide information on services available to our team members in the province. Additionally, Alexander Dennis continues to support the mental health and well-being of its team members by raising awareness with numerous events throughout the year and a focus on mental health during Mental Health Awareness Week.","NFI was once again pleased to partner with the True North Foundation and Bernie Wolfe Community School to participate in the Winnipeg Jets Hockey Academy. This program is designed to increase school attendance through the opportunity to have time on the ice practicing skating and hockey skills. In 2023, Grades 3/4 and 5/6 groups participated in the 10-week on-ice/office program with volunteers from NFI.",,Risk management strategies now encompass due diligence for Uyghur forced labor and updated materiality matrices that include EV transition risks.,,,Large
17,../data/processed/Auto Manufacturers - Major-Stellantis-2023 Corporate Social Responsibility Report.txt,14575000.0,,24862000.0,,,3080249.0,,301595.0,0.83,0.731,250942.0,0.3,1482.0,,13.81,685.71,0.3,,,,,,13.27,,28.3,,,"The consistency of Stellantis’ approach with SBTi recommendations was verified in 2022 by EcoAct, a specialized firm in environmental analysis and greenhouse gas diagnostics. As SBTi is preparing its Draft Interim $1.5^{\circ}\mathrm{C}$ Pathway for Automakers, Stellantis will revisit its assessment when an updated SBTi pathway is released.",,,,"The members of the Board and its committees are selected on the basis of expertise, experience, personal qualities, age, sex or gender identity, nationality. We aim to achieve, with an overriding emphasis on merit, a Board composition with: (a) women occupying at least $40\%$ of the seats of the Board as soon as the resolutions taken by shareholders in the context of the merger will expire and the renewal of seven members out of eleven of the Board of Directors will become feasible; (b) members whose nationality is reasonably consistent with the geographic footprint of Stellantis’ business in such manner that no nationality shall account for more than $60\%$ of the members of the Board of Directors; and (c) one or more members of the Board of Directors will be under 50 years of age on the day of their nomination.",Risk management strategies now encompass due diligence for Uyghur forced labor and updated materiality matrices that include EV transition risks.,,,Large
18,../data/processed/Auto Parts-American Tire Distributors-2022 Sustainability Annual Report.txt,39983.139,,273026.89048428,,,85476.0,,,,,,0.59,294.0,,46.0,64000.0,0.13,,,0.96,,,,,,,,,"Wherever it’s feasible, we’re transitioning to renewable energy. In the first full month of operation after installing solar at our Field Support Center (FSC), we slashed our external electricity needs by one-third. Just goes to show that making new choices does make a difference. Long-term we’re assessing the best way to deploy renewable energy at ATD. Solar is one consideration, and we’re also studying other renewable energy investments.",,,,,,,Medium
19,../data/processed/Auto Parts-NSK Ltd-2023 Responsibility Report.txt,,,388300.0,,,57500.0,,,,,,,,0.38,21.0,,0.111,,143.0,,,,,,,,,"We disclose Scope 3 CO2 emissions as reference values, calculated using Ministry of the Environment and IEA coefficients, and are working to reduce them. In quantifying emissions in the future, we would like to visualize emissions based on industry standards and strengthen cooperation toward reducing CO2 emissions throughout our entire supply chain.",,"The physical and mental health of our employees underpins all our business activities. In FY2022, we reviewed and disclosed our Health and Wellness Management Strategy Map. By visualizing KPls for the effectiveness of our health and wellness initiatives and how they are linked to NsK's management goals, we will work to further increase the effectiveness of our programs. We believe that a healthy, safe, and secure workplace creates an atmosphere conducive to open communication, which in turn produces a positive and vibrant working environment.","NSK's global business depends on building harmonious relationships with local communities and fulfilling our corporate responsibility to contribute to the development of those communities. ●Striving for mutual harmony and benefit with communities ●Contributing to the creation of employment/regional development ● Preserving the global environment and the local environment ●Reducing environmental impact (curbing emissions from business activities) ●Considering noise reduction ●Ensuring safe operations ●Activities to contribute to local communities (e.g., donation drives, cleanup activities) ●Cooperating in community events (e.g., plant festivals), welfare programs, etc.","The Company believes that the Company's Board of Directors should be well versed in the Company's businesses and be capable of supervising important managerial judgments related to business execution, with the aim of enhancing the sustainable growth and mid- to long-term corporate value of the NSK Group. Career diversity in terms of expertise and business experience are considered to ensure that the Board maintains a well-balanced composition, considering the Company's mid- to long-term business strategy or managerial issues, and the size of the Board is considered to enhance the effectiveness of deliberations.",,,"Based on the provided text, NSK's disclosure elaborates on responsible sourcing practices, adherence to the supplier CSR guidelines, and supplier sustainability through initiatives such as compliance with human rights and labor standards, environmental initiatives like reducing CO2 emissions, and efforts to track and mitigate impacts across the supply chain, including Tier 1–3 suppliers.",Large
20,../data/processed/Auto Parts-Delphi-2019 Sustainability Report.txt,,,,,,,,,0.11,,21000.0,,,,,,0.31,,,,,,,,,,,,,"It has been more than 10 years since we have implemented the Occupational Health and Safety Assessment Series OHSAS 18001 standard in our businesses. Until recently, this was the most advanced standard worldwide to control and improve health and safety performance. We have now commenced transitioning to the most recent international health and safety standard ISO 45001, to stay at the leading edge of ensuring the wellbeing and safety of our employees.",,,,Automotive production is currently linear for both natural and synthetic materials. This means that waste is generated during production and products become waste at the end of their life. Our responsibilities are to ensure that we minimize the materials we need to produce our products and to design products that are made from the most sustainable material sources. Our opportunity is to participate in the development of circular product lifecycles that enable the continuous recycling of materials.,"[""We enforce comprehensive sustainable procurement policies on both social and environmental factors and integrate social and environmental clauses into supplier contracts. This includes our policy on conflict minerals issues, where we maintain a thorough due diligence process and report via the Conflict Mineral Reporting Template (CMRT)."", ""It is vital that our relationships with business partners and suppliers are aligned with our own business principles and our approach to sustainability. Our own supplier code of conduct sets out expectations for suppliers, and adherence to these expectations is a condition of supply to our business.""] ",Large
21,../data/processed/Auto Parts-Hyliion Holdings Corp-2022 Sustainability Report.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Central to living our values as a company is fostering a diverse, inclusive workforce where everyone is given a chance to succeed is critical to the long-term success of Hyliion. We know that a diverse and inclusive workforce is critical to fulfilling our mission of being a leading provider of electrified powertrain solutions for the commercial transportation industry. Through our talent identification and talent recruiting strategy, we are taking a comprehensive approach to recruit and retain talented and passionate employees of all backgrounds. Hyliion also has retained Gartner, a global consultancy, to assist in the development and implementation of a recruitment and talent development strategy to foster a truly diverse workforce. D'Mar Phillips, Vice President of People Operations. D'Mar has 25 years of experience leading Strategic People Initiatives within manufacturing, automotive, distribution and retail environments. He has extensive experience delivering People & Culture, Talent Acquisition & Management, and Total Rewards teams focused on retention, employee engagement, DEI initiatives for large and small organizations.",,,"Our commitment to environmental stewardship extends to how we manage our supply chain and engage with suppliers. The first “check” we use to assess the environmental performance of suppliers is ISO 14001 compliance. Based on our experience, any organization that achieves an ISO 14001 certification has undertaken a significant effort to manage itself in an environmentally responsible manner.",,,Small
22,../data/processed/Auto Manufacturers - Major-Toyota Motor Corp-2023 Responsibility Report.txt,,,,,,575.73,,,,,5500000.0,,,0.28,,,0.255,0.024900000000000002,,,,,,,,,"launching 10 new models and selling 1.5 million BEV units by 2026 to reach the target of 3.5 million vehicles sold globally each year by 2030. To achieve this, we will advance the sale of electrified vehicles optimized to suit regional conditions and customer preferences.","In September 2022, we received validation and approval\*6 from SBTi for our Scope 1 and 2, and Scope 3, Category 11, reduction targets and updated our medium-term targets accordingly.",,,,"Toyota’s Board composition focuses on people, regardless of gender, nationality, or race. The Company selects candidates with a focus on diverse perspectives, including climate competency. The Board actively works to support professional advancement and diversity, with initiatives such as aiming for 100% of eligible male employees to take childcare leave by the end of the year and ensuring around 50% of administrative positions and 20% of technical roles are filled by women at the time of hiring in 2023. Additionally, the Board consists of members who contribute to decision-making aimed at sustainable growth, including Emi Osono, an industry analysis expert, and Masahiko Oshima, who boasts knowledge of finance and an international network. All Outside Directors are registered as independent officers with the relevant financial instrument exchanges, ensuring their independence.",,"Aerodynamic drag can be lowered by controlling points of contact with the airflow, for example, through body surface treatment. Toyota hopes to reduce the drag coefficient (Cd) to around a tenth of that for existing car bodies (0.20). This technology has the potential to enable designs that are both stylish and aerodynamic without placing restrictions on the shape of a car or whether the material is steel or aluminum.","As of March 2023, more than 90 percent of Toyota’s domestic suppliers have endorsed the principles of the Guidelines. Furthermore, the Guidelines stipulate that tier 1 suppliers must expand the implementation of the Guidelines to tier 2 suppliers and beyond to ensure that these principles are disseminated and implemented throughout the supply chain.",Large
23,../data/processed/Auto Parts-Exco Technologies Limited-2023 Sustainability Report.txt,18.055555555555554,,,,,27000.0,,1171.094,0.02,,5000.0,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,Large
24,../data/processed/Auto Parts-Nokian Tyres plc-2023 Sustainability Report.txt,,,,,,7250920.0,,,1.0,0.99,3433.0,0.11800000000000001,93.0,,3.8,,0.188,,,,,1500.0,980000.0,,,,,One of Nokian Tyres’ science-based greenhouse gas emissions reduction targets was to cut its tire factories’ CO2 emissions by 52 percent per production ton by 2030 compared to the emissions level in 2015. The target was already achieved in 2023.,,"To be innovative and creative, try new things and make mistakes. It is important to give everyone a safe environment where they can try to succeed. It is about creating psychological safety that boosts innovativeness and drives sustainability. Our people are our competitive advantage.","Corporate philanthropy is Nokian Tyres’ way of giving back to its community locally, regionally, nationally, and internationally. Donating time, products, services, and money to charities and nonprofits helps the company to build trust with its communities, consumers, and other companies, as well as to improve employee engagement.","In April 2023, the Board of Directors decided in its organizing meeting to change the name of the Board’s Personnel and Remuneration Committee to Board’s People and Sustainability Committee. The Committee is informed of topical sustainability matters at least three times a year by the VP, Quality and Sustainability. Among other things, the committee prepares sustainability topics for the Board and monitors developments in the operating environment and regulation relating to sustainability. All Committee members are independent of the company and of all major shareholders in the company.",,,"Nokian Tyres expects its suppliers to share the strive towards a more socially sustainable supply chain, where decent working conditions are promoted. Actions are taken with all new suppliers that are classified as critical or medium critical in any of the four categories in the classification model. The actions are, for example, sustainability on-site audits, desk assessments and requesting a management system certification in terms of quality, environment, or safety. Potential risks identified with desk assessments are additionally confirmed and verified through on-site audits.",Medium
25,../data/processed/Auto Manufacturers - Major-Mahindra & Mahindra-2023 Sustainability Report.txt,685621.3888888889,,2025341.0,,0.43,261242.0,,157728.0,0.63,,122448.0,0.18166666666666667,127.0,0.13,,,0.0482,,,,,,,,,46109.0,,"Mahindra & Mahindra Ltd. has pledged to reduce Scope 1 and Scope 2 GHG emissions by 47% per equivalent product unit by 2033 from a 2018 baseline. We have also committed to reducing Scope 3 GHG emissions by 30% per sold product unit by 2033 from the same baseline. These targets have been approved by SBTi, for more information visit: https://sciencebasedtargets.org/companies-taking-action.","Renewable energy plays a vital role in Mahindra's business strategy. We recognise the importance of adopting sustainable practices and reducing our carbon footprint. By increasing the share of renewable energy in the total electricity consumption, M&M is demonstrating its commitment to environmental responsibility and supporting the global effort to transition to a lowcarbon economy. This not only benefits the environment but also helps to create a more resilient and sustainable business model, which can ultimately lead to long-term success. Moreover, investing in renewable energy sources can also help the company to reduce energy costs over time, which can further contribute to the overall financial sustainability of the business.",,Proactive engagement is key to earn and maintain the social license to operate from the local community. We consistently engage with the community and integrate their well-being in business to earn their respect and trust. This generates societal prosperity while giving us the fulfilment of Rising to a more equal world.,"The composition of the Board of Mahindra & Mahindra Ltd. is in conformity with Regulation 17 of the Listing Regulations. The Non-Executive Chairman of the Company, though a Professional Director in his individual capacity, is a Promoter and the number of Non-Executive and Independent Directors is more than one-half of the total number of Directors. All officers in our organisation receive a portion of their compensation as variable pay, which is determined by individual as well as business/ organisational goals. The proportion of the variable component increases with higher hierarchical levels. For instance, at the corporate level and in our larger businesses, we consider metrics such as Return on Equity (ROE), EPS growth, ESG performance index, and Employee Engagement level. The ESG Performance Index includes intermediate targets that contribute to our global ESG leadership ambitions.","This pivotal committee recommends our overall ESG strategy, ensures implementation, and fosters a culture of sustainable business. It reviews progress, ensures compliance with sustainability initiatives and policies, and provides essential guidance, adhering to the Nine key principles of the 'National Voluntary Guidelines on Social, Environmental, and Economic Responsibilities of Business'. Effective stakeholder engagement is a priority. The committee actively communicates the significance of ESG reporting and our sustainable practices to stakeholders. It reports on current and emerging ESG topics to the Board that may impact our business, operations, performance, or reputation.","While we strengthen our leadership position in the SUV space with launches like the Scorpio-N and RWD Thar and the tractor market with six launches in the Yuvo Tech+ range, we are also building a green product portfolio that includes innovative electric vehicles like XUV400 and sustainable last-mile mobility solutions like the New Alfa CNG variants.","Mahindra has established a comprehensive Supplier Risk Management & Mitigation (SRMM) process comprising 14 categories of risks, ranging from safety and sustainability to labour related. SRMM scores influence supplier selection for new business. This not only cascades sustainability further down the value chain, but also minimises our risks. M&M also conducts training programs on sustainability topics like Environment, Social and Governance practices. Every year M&M conducts training & development Programme on ESG for suppliers. In F23, we have conducted training programs for suppliers namely Essentials of Sustainability, Zero Waste to Landfill, Renewable Energy for Sustainable Supply-Chain & Profitability, Safety & Health.",Large
26,../data/processed/Auto Parts-Bridgestone Corporation-2023 Responsibility Report.txt,17548666.666666668,,68039000.0,,,3081000.0,,285000.0,0.94,,129262.0,,,,,,0.12,,,,,,,,,,,"The Group has set a clear target to reduce Scope 3 CO₂ emissions by more than five times its own emissions. In 2022, the Group was able to achieve a 0.95× reduction contribution, which was a significant improvement from 0.5x in 2021.","To achieve its targets, the Group is installing solar panels at its plants around the world as well as transitioning electricity purchased from external sources to power sourced from renewable energy. The Group’s renewable energy (electricity) ratio was $26\%$ in 2022, and is expected to reach $50\%$ by 2023 and $100\%$ by 2030.",,,,,,"The Group’s sustainable procurement initiatives create long-term environmental, social and economic benefits for stakeholders across its supply chain. This work is grounded in its Global Sustainable Procurement Policy and aligns with the Group’s goal of using $100\%$ sustainable materials by 2050 and beyond. The policy helps identify and evaluate qualified suppliers, promote best practices and serve as a communication and improvement tool for the industry. The Group’s sustainable procurement mission is important as customers and consumers are ever more interested in the natural rubber supply chain, including issues related to human rights and environmental practices of the rubber the Group sources.",Large
27,"../data/processed/Auto Manufacturers - Major-Nissan Motor Co., Ltd-2022 Sustainability Report.txt",6875000.0,,20090.0,13986000.0,,2239127.0,,150945.0,0.9940000000000001,,134111.0,0.053,,,14.3,67000.0,0.10300000000000001,,,0.978,,,,,41.7,,,,,,,"The Board of Directors, led by independent outside directors, decides basic management policies by taking a variety of perspectives into account and plays the role of supervising the execution of duties by executive directors and other officers. A majority (seven) of the 12 members are independent outside directors, including the Chairman of the Board, creating an environment driven by independent outside directors. Each director has diversity in terms of nationality, gender, specialization or other traits, and Nissan aims to realize lively discussions and swift decision-making through their inclusion.","We encourage all our global suppliers to manage parts and materials with a shared environmental philosophy in alignment with the Nissan Green Purchasing Guidelines. These guidelines are based on The Renault-Nissan Purchasing Way and the Renault-Nissan Supplier CSR Guidelines and provide detailed information regarding environmental matters. In August 2018, based on NGP2022, we revised the content of the guidelines, adding requests that suppliers undertake their own environmental activities. In May 2019, in order to strengthen the management of environment-impacting substances, we added rules that include supplier self-diagnoses pertaining to the management of environment-impacting substances. To realize carbon neutrality in 2050, we clarified the Nissan Green Purchasing Guidelines in May 2022, requesting that suppliers systematically promote autonomous activities while Nissan works with suppliers on issues related to plan execution.","Nissan is promoting technical research to replace plastics and other resin materials used in automobiles with biomaterials derived from plants. NGP2022 contains concrete goals for biomaterials development, and these materials are already being used in cars. For example, the coverings on the seats in the Nissan LEAF are made using biomaterials.","To effectively implement sustainability practices worldwide, Renault and Nissan revised the Renault-Nissan CSR Guidelines for Suppliers in December 2015. Renault and Nissan distributed the revised guidelines to all their suppliers and have also asked suppliers to share the revised guidelines with their own business partners to ensure they permeate throughout the supply chain. Key revisions and clarifications in the 2015 edition included, as a response to new laws and ordinances: (1) updating the procurement policy to include responsible mineral procurement and the elimination of antisocial forces based on new Japanese governmental guidelines and regulations; (2) requiring a shared commitment to sustainability activities with suppliers; (3) beginning third-party assessment of supplier sustainability activities as an Alliance initiative from fiscal 2016. As part of efforts to promote sustainability practices among business partners in emerging countries, the revised guidelines were published in Chinese as well as English and Japanese.",Large
28,../data/processed/Auto Manufacturers - Major-Aston Martin Lagonda Global Holdings-2023 Sustainability Report.txt,68329.85,,66004.9,,,13617.49,1.11,4075.81,0.636,,2832.0,0.086,7.0,,,,0.16399999999999998,,5.0,,,,,,,,,We previously committed to the SBTi Net-Zero Standard and this year have developed our full Scope 3 inventory and are in the process of setting near- and long-term Company-wide emissions reduction targets in line with the standard. In November 2023 we responded to the SBTi consultation on the automaker sectors pathway and await SBTi reopening validation for automakers.,"Our manufacturing sites are powered by $100\%$ renewable electricity, using supplies backed by Renewable Energy Guarantees of Origin. However, to reduce our dependency on the national electricity distribution network and increase the supply of renewable electricity to others, we continued to advance renewable electricity generation projects across our sites. In 2023, we completed the installation of Solar PV generation at our historic works at Newport Pagnell. We continue to progress our plans for solar PV generation at St Athan and Gaydon. An agreement to secure access to the national electricity distribution network to enable the St Athan Solar PV project has taken longer than expected and discussions with the local planning authority are continuing. We continue to invest in advanced energy management systems as we aim to achieve ISO 50001 accreditation for all our key manufacturing facilities.","Our focus on mental health includes delivering training on mental health awareness and stress management, and access to mental health tools via an employee app. Our ‘I AM Well’ employee network host monthly lunches and, in 2023, hosted a Wellbeing Café at Gaydon and St Athan to further promote the range of support services available to staff. [...] In 2023, we continued to focus on delivering our Equity, Diversity and Inclusion (‘EDI’) strategy. Activities during 2023 included events and engagement coinciding with Black History Month, International Women’s Day, National Inclusion Week, Pride and Transgender Week.",,"The Board Sustainability Committee ensures that the Directors provide oversight, challenge and support for the Company’s sustainability strategy and aims to understand the actions required for the Company to achieve its sustainability targets and develop relevant and reliable reporting metrics, in line with the growing body of standards in this area. The role of the Committee is to oversee, on behalf of the Board, the implementation of the Company’s sustainability strategy, which focuses on five strategic pillars: Tackling climate change; Creating a better environment; Investing in people and opportunity; Exporting success; and Delivering the highest standards.",Significant climate-related risks are reviewed by the Company’s Risk Management Committee and managed using our business-wide enterprise risk management procedures. Climate-related risks are incorporated into the corporate risk register where appropriate. Significant climate-related risks are assigned to functional Risk Champions to develop appropriate risk mitigation plans. Each function maintains a risk register which is reviewed twice a year by the Company’s Risk Management Committee. The Audit and Risk Committee then provides oversight of the corporate climate-related and other risks.,,"We aim to improve the social, environmental and economic impact of our operations. We are committed to building a responsible supply chain with our partners. Our policies and practices are designed to promote quality and maintain high standards of sustainable and ethical sourcing. Our approach and expectations of our suppliers is set out in the Aston Martin Responsible Procurement Policy (‘RPP’). We revised our RPP in 2023 and will publish the new policy in 2024.",Medium
